feature_id	effect	p	complete_candidate_pairs	study_id	analysis_id	platform	ion_mode	evidence_family	pairing_confidence	pairing_basis	interpretation	estimable	q_evidence_family	direction
AN004960__4	1.98390109714747	0.000363361072924873	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0019984859010868	higher_in_early_ESCC
AN004960__6	1.12410004317921	0.000257124876349499	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0019984859010868	higher_in_early_ESCC
AN004960__5	1.27448249470817	0.00272474164667473	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.00999071937114067	higher_in_early_ESCC
AN004960__7	0.943001449074114	0.00386349212049403	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0106246033313586	higher_in_early_ESCC
AN004960__9	-0.33525555769058	0.016699520179357	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0306157869954878	lower_in_early_ESCC
AN004960__11	-0.383256942685595	0.0142401731028798	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0306157869954878	lower_in_early_ESCC
AN004960__3	0.958313944819318	0.0553314992647772	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0869494988446499	higher_in_early_ESCC
AN004960__8	0.189914423147232	0.0659735704763797	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0907136594050221	higher_in_early_ESCC
AN004960__2	0.754842505696999	0.0769461565885581	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.0940453024971266	higher_in_early_ESCC
AN004960__1	0.0832035497667618	0.840725414220994	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.924797955643093	higher_in_early_ESCC
AN004960__10	-0.00426593841644651	0.972130966212773	16	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	0.972130966212773	lower_in_early_ESCC
AN004962__243	0.51094711270769	3.61821898278411e-09	16	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	1.1614482934737e-06	higher_in_early_ESCC
AN004962__85	0.552451428718297	7.76108634066379e-08	16	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	low	case/control numbering offset 16; participant mapping not supplied	number-offset pairing sensitivity only; unpaired model remains primary	TRUE	1.24565435767654e-05	higher_in_early_ESCC
